Input_trt,Agroforestry_trt,Block,Sampling Rep,CEC,pH,SOM,S.NO3.N,S.NH4,S.S,S.P,S.Ca,S.Mg,S.K,S.Na,S.B,S.Fe,S.Mn,S.Cu,S.Zn,S.Al,L.N,L.P,L.Mg,L.K,L.Ca,L.S,L.B,L.Fe,L.Mn,L.Cu,L.Zn,L.Al,Y-2019
MC,Servicio,III,2,23.68,5.4,10.24,38.8,12.6,10,21,2338,204,318,22,0,161,118,5.4,4.16,1010,2.8,0.193,0.158,1.82,0.98,0.138,35.8,33.6,61.3,17.1,5.2,19.4,1.624
OI,Forestal,I,1,13.29,4.6,9.05,50.5,16,21,24,639,97,418,19,0.2,122,65,3.28,2.99,1191,2.17,0.175,0.151,1.81,1.08,0.147,52.5,248,68.7,17.1,8,136,0.061
OI,Forestal,I,1,13.97,4.9,9.8,28.3,18.7,17,30,919,110,290,20,0.26,120,96,3.16,2.89,1058,2.04,0.186,0.226,1.71,1.34,0.149,65.3,43.2,87.4,13.1,5.2,28.7,0.061
OI,Forestal,II,1,14.98,5,9.37,31.8,12.9,13,23,1067,94,357,22,0,131,46,3.1,3.46,1166,1.87,0.314,0.218,1.87,0.88,0.124,37.4,28.8,106,15.8,5,11.4,0.744
OI,Forestal,II,2,17.55,5.2,8.05,23.7,16,11,27,1477,151,288,22,0,126,65,3.65,3.05,1119,1.88,0.273,0.136,2.03,0.8,0.14,36.5,36.4,57.6,20.5,4.7,15.2,0.744
OI,Forestal,III,1,20.2,5.4,10.06,28,20.6,16,16,1625,204,892,21,0.4,119,154,4.66,4.3,1175,2.28,0.277,0.143,2.04,0.83,0.15,36.5,39.3,58.3,21.4,5,14.8,0.336
OI,Forestal,III,2,16.32,5.7,10.49,21.8,18.2,14,17,1855,163,274,21,0.29,121,147,4.9,3.78,1030,1.83,0.242,0.13,1.75,0.7,0.127,40,31.8,58.6,17.6,4.1,16.3,0.336
OI,Frutal,I,1,15.02,5.3,8.61,33.6,19.7,15,21,1308,137,321,20,0,116,157,3.76,2.67,1042,2.61,0.267,0.17,1.7,0.79,0.148,36.7,37.6,36.8,14.1,4.7,16.9,0.183
OI,Frutal,I,2,15.62,5.6,8.54,21.9,15.3,14,24,1507,203,443,17,0.25,97,131,4.13,3.38,945,3.04,0.182,0.169,1.99,0.94,0.159,38.6,28.5,52.8,13.8,4.8,12.1,0.183
OI,Frutal,II,1,16.6,5.1,8.58,29.9,11.7,15,13,1253,158,299,20,0,131,130,3.67,2.4,1190,2.43,0.176,0.11,1.87,0.82,0.127,38,30.2,71.3,11.1,4.4,12.8,0.286
OI,Frutal,II,2,22.71,5,8.76,48.7,16.1,12,20,1620,177,448,20,0.27,132,146,4.64,4.25,1052,2.89,0.236,0.129,1.92,0.91,0.15,47.1,40.5,75.3,13.9,5.3,16.1,0.286
OI,Frutal,III,1,18.51,5.7,9.34,24.6,24.3,14,21,1884,191,722,21,0.25,148,134,6.18,5.59,1012,2.66,0.364,0.147,1.99,0.72,0.159,33.7,32.4,46.5,18.1,5.7,9.3,0.488
OI,Frutal,III,2,23.87,5.3,10.67,72.9,17.4,14,28,2017,178,772,24,0.65,153,107,5.58,6.08,954,3.16,0.21,0.154,2.04,0.95,0.169,35.3,42.4,47.1,17.7,5.4,16.5,0.488
OI,Pleno sol,I,1,14.83,5.5,8.67,19.4,12.2,12,32,1387,131,518,18,0.23,94,66,3.45,3.05,922,2.65,0.21,0.135,2.07,0.88,0.145,33.4,39.9,73.4,13.5,4.9,16.3,0.361
OI,Pleno sol,I,2,15,5.2,8.98,21.4,14.8,16,22,1136,124,510,18,0,101,95,2.98,1.83,983,2.57,0.151,0.104,2.04,0.75,0.141,42.6,58.2,58.6,10.4,4.2,41.7,0.361
OI,Pleno sol,II,1,19.06,4.7,9.01,41,13.5,15,27,1170,141,264,26,0.2,151,124,3.68,3.13,1210,2.34,0.263,0.124,2.05,0.72,0.16,46.1,39,62.7,14.7,4.2,19.7,0.235
OI,Pleno sol,II,2,16.75,5.3,8.45,39.6,21.6,14,32,1342,165,552,19,0.23,146,192,4.43,3.87,1005,2.2,0.382,0.131,2.08,0.83,0.142,39,38.8,77.1,19.2,5,18.2,0.235
OI,Pleno sol,III,1,16.28,5.1,9.57,38.3,17.2,12,10,1104,165,506,18,0,104,113,3.86,2.36,1169,2.28,0.198,0.123,1.75,1.04,0.145,40.6,32.2,54.5,20.3,4.3,19.6,0.47
OI,Pleno sol,III,1,13.81,4.8,9.94,22.9,18.5,16,15,758,122,423,17,0,120,191,3.06,1.98,1228,2.25,0.158,0.106,1.93,1.04,0.16,37.3,38.7,69.8,21.4,4.5,22.8,0.47
OI,Servicio,I,1,16.75,5.1,9.24,56,13.3,11,17,1256,144,369,19,0.22,101,119,3.34,2.1,968,3.41,0.134,0.194,1.89,0.92,0.137,24.1,36.8,49.7,9.1,5.2,12.4,0.196
OI,Servicio,I,2,19.92,4.8,8.99,47.2,16,19,21,1210,161,443,18,0.26,141,170,4.11,2.76,1230,3.23,0.141,0.202,2.07,1.16,0.162,36,47.2,77.3,13.2,5.2,15.9,0.196
OI,Servicio,II,1,19.04,5.4,9.94,36.1,14.9,13,38,1784,178,390,22,0.26,136,76,3.81,3.23,1002,2.66,0.252,0.158,1.94,0.95,0.141,42.9,34.6,89.9,15.2,4.2,13.3,0.612
OI,Servicio,II,2,20.21,5.8,10.07,23.5,12.6,11,30,2463,167,391,19,0.31,148,89,4.77,5.57,995,3.21,0.252,0.132,1.96,0.78,0.129,29.6,28,38.8,14.3,4.6,8.8,0.612
OI,Servicio,III,1,18.57,5.6,10.52,41.6,16.7,10,21,2113,128,269,19,0.22,123,71,4.35,3.12,979,2.56,0.259,0.126,1.73,0.78,0.124,32.6,35.6,32.5,17.2,4.4,11.9,1.267
OI,Servicio,III,2,16.02,5.3,10.22,34.2,20.5,12,21,1250,154,606,18,0,125,80,3.79,2.92,1083,3.22,0.116,0.159,1.88,1.01,0.139,37.4,36.6,60.7,9.9,4.4,13.8,1.267
